item,token,tag,patent,partition,trainingTest
316,data,I-FUNCIONALIDADE,3,1,training
317,or,O,3,1,training
318,results,O,3,1,training
319,from,O,3,1,training
320,processing,O,3,1,training
321,the,O,3,1,training
322,sensor,O,3,1,training
323,data,O,3,1,training
324,to,O,3,1,training
325,an,O,3,1,training
326,external,O,3,1,training
327,recipient,O,3,1,training
328,.,O,3,1,training
329,Further,O,3,1,training
330,",",O,3,1,training
331,for,O,3,1,training
332,some,O,3,1,training
333,embodiments,O,3,1,training
334,",",O,3,1,training
335,the,O,3,1,training
336,intelligent,B-HARDWARE,3,1,training
337,LED,I-HARDWARE,3,1,training
338,bulb,I-HARDWARE,3,1,training
339,apparatus,I-HARDWARE,3,1,training
340,may,O,3,1,training
341,further,O,3,1,training
342,comprise,B-FUNCIONALIDADE,3,1,training
343,LED,I-FUNCIONALIDADE,3,1,training
344,lights,I-FUNCIONALIDADE,3,1,training
345,",",O,3,1,training
346,and,O,3,1,training
347,the,O,3,1,training
348,body,O,3,1,training
349,further,O,3,1,training
350,encases,O,3,1,training
351,the,O,3,1,training
352,LED,O,3,1,training
353,lights,O,3,1,training
354,.,O,3,1,training
355,In,O,3,1,training
356,other,O,3,1,training
357,embodiments,O,3,1,training
358,",",O,3,1,training
359,the,O,3,1,training
360,body,O,3,1,training
361,may,O,3,1,training
362,include,O,3,1,training
363,a,O,3,1,training
364,male,O,3,1,training
365,connector,O,3,1,training
366,to,O,3,1,training
367,mate,O,3,1,training
368,with,O,3,1,training
369,a,O,3,1,training
370,bulb,O,3,1,training
371,receptor,O,3,1,training
372,",",O,3,1,training
373,and,O,3,1,training
374,a,O,3,1,training
375,female,O,3,1,training
376,connector,O,3,1,training
377,to,O,3,1,training
378,mate,O,3,1,training
379,with,O,3,1,training
380,a,O,3,1,training
381,LED,O,3,1,training
382,bulb,O,3,1,training
383,.,O,3,1,training
384,Other,O,3,1,training
385,embodiments,O,3,1,training
386,may,O,3,1,training
387,be,O,3,1,training
388,disclosed,O,3,1,training
389,or,O,3,1,training
390,claimed,O,3,1,training
391,.,O,3,1,training
392,A,O,4,1,training
393,terminal,B-HARDWARE,4,1,training
394,device,I-HARDWARE,4,1,training
395,is,O,4,1,training
396,provided,O,4,1,training
397,to,O,4,1,training
398,output,B-FUNCIONALIDADE,4,1,training
399,information,I-FUNCIONALIDADE,4,1,training
400,about,O,4,1,training
401,using,O,4,1,training
402,a,O,4,1,training
403,transport,O,4,1,training
404,device,O,4,1,training
405,for,O,4,1,training
406,a,O,4,1,training
407,travel,O,4,1,training
408,to,O,4,1,training
409,a,O,4,1,training
410,destination,O,4,1,training
411,",",O,4,1,training
412,a,O,4,1,training
413,vehicle,O,4,1,training
414,communicating,O,4,1,training
415,with,O,4,1,training
416,the,O,4,1,training
417,terminal,O,4,1,training
418,device,O,4,1,training
419,",",O,4,1,training
420,a,O,4,1,training
421,personal,B-HARDWARE,4,1,training
422,mobility,I-HARDWARE,4,1,training
423,device,I-HARDWARE,4,1,training
424,communicating,O,4,1,training
425,with,O,4,1,training
426,the,O,4,1,training
427,terminal,O,4,1,training
428,device,O,4,1,training
429,",",O,4,1,training
430,a,O,4,1,training
431,method,O,4,1,training
432,of,O,4,1,training
433,controlling,B-FUNCIONALIDADE,4,1,training
434,the,I-FUNCIONALIDADE,4,1,training
435,terminal,I-FUNCIONALIDADE,4,1,training
436,device,I-FUNCIONALIDADE,4,1,training
437,",",O,4,1,training
438,and,O,4,1,training
439,a,O,4,1,training
440,method,O,4,1,training
441,of,O,4,1,training
442,controlling,B-FUNCIONALIDADE,4,1,training
443,the,I-FUNCIONALIDADE,4,1,training
444,vehicle,I-FUNCIONALIDADE,4,1,training
445,.,O,4,1,training
446,In,O,5,1,training
447,one,O,5,1,training
448,example,O,5,1,training
449,",",O,5,1,training
450,the,O,5,1,training
451,present,O,5,1,training
452,disclosure,O,5,1,training
453,describes,O,5,1,training
454,a,O,5,1,training
455,device,O,5,1,training
456,",",O,5,1,training
457,computer,O,5,1,training
458,-,O,5,1,training
459,readable,O,5,1,training
460,medium,O,5,1,training
461,",",O,5,1,training
462,and,O,5,1,training
463,method,O,5,1,training
464,for,O,5,1,training
465,providing,B-FUNCIONALIDADE,5,1,training
466,smart,I-FUNCIONALIDADE,5,1,training
467,mobility,I-FUNCIONALIDADE,5,1,training
468,assistance,I-FUNCIONALIDADE,5,1,training
469,.,O,5,1,training
470,For,O,5,1,training
471,instance,O,5,1,training
472,",",O,5,1,training
473,in,O,5,1,training
474,one,O,5,1,training
475,example,O,5,1,training
476,",",O,5,1,training
477,a,O,5,1,training
478,device,O,5,1,training
479,includes,O,5,1,training
480,a,O,5,1,training
481,set,B-HARDWARE,5,1,training
482,of,I-HARDWARE,5,1,training
483,sensors,I-HARDWARE,5,1,training
484,",",O,5,1,training
485,a,O,5,1,training
486,processor,B-HARDWARE,5,1,training
487,",",O,5,1,training
488,a,O,5,1,training
489,first,O,5,1,training
490,set,O,5,1,training
491,of,O,5,1,training
492,feedback,O,5,1,training
493,mechanisms,O,5,1,training
494,",",O,5,1,training
495,and,O,5,1,training
496,a,O,5,1,training
497,communication,B-HARDWARE,5,1,training
498,device,I-HARDWARE,5,1,training
499,.,O,5,1,training
500,The,O,5,1,training
501,set,B-HARDWARE,5,1,training
502,of,I-HARDWARE,5,1,training
503,sensors,I-HARDWARE,5,1,training
504,is,O,5,1,training
505,to,O,5,1,training
506,monitor,B-FUNCIONALIDADE,5,1,training
507,an,I-FUNCIONALIDADE,5,1,training
508,area,I-FUNCIONALIDADE,5,1,training
509,surrounding,I-FUNCIONALIDADE,5,1,training
510,a,O,5,1,training
511,user,B-PESSOA,5,1,training
512,of,I-PESSOA,5,1,training
513,a,I-PESSOA,5,1,training
514,mobility,I-PESSOA,5,1,training
515,assistance,I-PESSOA,5,1,training
516,device,I-PESSOA,5,1,training
517,.,O,5,1,training
518,The,O,5,1,training
519,processor,B-HARDWARE,5,1,training
520,is,O,5,1,training
521,to,O,5,1,training
522,detect,B-FUNCIONALIDADE,5,1,training
523,a,I-FUNCIONALIDADE,5,1,training
524,hazard,I-FUNCIONALIDADE,5,1,training
525,in,O,5,1,training
526,the,O,5,1,training
527,surrounding,O,5,1,training
528,area,O,5,1,training
529,",",O,5,1,training
530,based,O,5,1,training
531,on,O,5,1,training
532,the,O,5,1,training
533,monitoring,O,5,1,training
534,.,O,5,1,training
535,The,O,5,1,training
536,first,O,5,1,training
537,set,B-HARDWARE,5,1,training
538,of,I-HARDWARE,5,1,training
539,feedback,I-HARDWARE,5,1,training
540,mechanisms,I-HARDWARE,5,1,training
541,is,O,5,1,training
542,to,O,5,1,training
543,provide,B-FUNCIONALIDADE,5,1,training
544,the,I-FUNCIONALIDADE,5,1,training
545,user,I-FUNCIONALIDADE,5,1,training
546,with,O,5,1,training
547,an,O,5,1,training
548,alert,O,5,1,training
549,that,O,5,1,training
550,notifies,B-FUNCIONALIDADE,5,1,training
551,the,I-FUNCIONALIDADE,5,1,training
552,user,I-FUNCIONALIDADE,5,1,training
553,of,O,5,1,training
554,the,O,5,1,training
555,hazard,O,5,1,training
556,.,O,5,1,training
557,The,O,5,1,training
558,communication,B-HARDWARE,5,1,training
559,device,I-HARDWARE,5,1,training
560,is,O,5,1,training
561,to,O,5,1,training
562,send,B-FUNCIONALIDADE,5,1,training
563,a,I-FUNCIONALIDADE,5,1,training
564,notification,I-FUNCIONALIDADE,5,1,training
565,to,O,5,1,training
566,a,O,5,1,training
567,third,O,5,1,training
568,party,O,5,1,training
569,informing,O,5,1,training
570,the,O,5,1,training
571,third,O,5,1,training
572,party,O,5,1,training
573,of,O,5,1,training
574,the,O,5,1,training
575,hazard,O,5,1,training
576,.,O,5,1,training
577,The,O,6,1,training
578,present,O,6,1,training
579,disclosure,O,6,1,training
580,relates,O,6,1,training
581,to,O,6,1,training
582,a,O,6,1,training
583,sensor,B-HARDWARE,6,1,training
584,network,I-HARDWARE,6,1,training
585,",",O,6,1,training
586,machine,B-COMUNICAÇÃO,6,1,training
587,type,I-COMUNICAÇÃO,6,1,training
588,communication,I-COMUNICAÇÃO,6,1,training
589,(,O,6,1,training
590,MTC,B-COMUNICAÇÃO,6,1,training
591,),I-COMUNICAÇÃO,6,1,training
592,",",O,6,1,training
593,machine,B-COMUNICAÇÃO,6,1,training
594,-,I-COMUNICAÇÃO,6,1,training
595,to,I-COMUNICAÇÃO,6,1,training
596,-,I-COMUNICAÇÃO,6,1,training
597,machine,I-COMUNICAÇÃO,6,1,training
598,(,I-COMUNICAÇÃO,6,1,training
599,M2M,I-COMUNICAÇÃO,6,1,training
600,),I-COMUNICAÇÃO,6,1,training
601,communication,I-COMUNICAÇÃO,6,1,training
602,",",O,6,1,training
603,and,O,6,1,training
604,technology,B-COMUNICAÇÃO,6,1,training
605,for,I-COMUNICAÇÃO,6,1,training
606,internet,I-COMUNICAÇÃO,6,1,training
607,of,I-COMUNICAÇÃO,6,1,training
608,things,I-COMUNICAÇÃO,6,1,training
609,(,O,6,1,training
610,IoT,B-COMUNICAÇÃO,6,1,training
611,),I-COMUNICAÇÃO,6,1,training
612,.,O,6,1,training
613,The,O,6,1,training
614,present,O,6,1,training
615,disclosure,O,6,1,training
616,may,O,6,1,training
617,be,O,6,1,training
618,applied,O,6,1,training
619,to,O,6,1,training
620,intelligent,O,6,1,training
621,services,O,6,1,training
622,based,O,6,1,training
623,on,O,6,1,training
624,the,O,6,1,training
625,above,O,6,1,training
626,technologies,O,6,1,training
627,",",O,6,1,training
628,such,O,6,1,training
629,as,O,6,1,training
630,smart,O,6,1,training
631,home,O,6,1,training
632,",",O,6,1,training
633,smart,O,6,1,training
634,building,O,6,1,training
635,",",O,6,1,training
636,smart,O,6,1,training
637,city,O,6,1,training
638,",",O,6,1,training
639,smart,O,6,1,training
640,car,O,6,1,training
641,",",O,6,1,training
642,connected,O,6,1,training
643,car,O,6,1,training
644,",",O,6,1,training
645,health,O,6,1,training
646,care,O,6,1,training
647,",",O,6,1,training
648,digital,O,6,1,training
649,education,O,6,1,training
650,",",O,6,1,training
651,smart,O,6,1,training
652,retail,O,6,1,training
653,",",O,6,1,training
654,security,O,6,1,training
655,and,O,6,1,training
656,safety,O,6,1,training
657,services,O,6,1,training
658,.,O,6,1,training
659,A,O,6,1,training
660,transmitting,B-HARDWARE,6,1,training
661,apparatus,I-HARDWARE,6,1,training
662,according,O,6,1,training
663,to,O,6,1,training
664,an,O,6,1,training
665,embodiment,O,6,1,training
666,of,O,6,1,training
667,the,O,6,1,training
668,present,O,6,1,training
669,disclosure,O,6,1,training
670,is,O,6,1,training
671,provided,O,6,1,training
672,.,O,6,1,training
673,The,O,6,1,training
674,transmitting,B-HARDWARE,6,1,training
675,apparatus,I-HARDWARE,6,1,training
676,includes,O,6,1,training
677,a,O,6,1,training
678,transmitter,B-HARDWARE,6,1,training
679,",",O,6,1,training
680,and,O,6,1,training
681,a,O,6,1,training
682,processor,B-HARDWARE,6,1,training
683,configured,O,6,1,training
684,to,O,6,1,training
685,acquire,B-FUNCIONALIDADE,6,1,training
686,at,I-FUNCIONALIDADE,6,1,training
687,least,I-FUNCIONALIDADE,6,1,training
688,one,I-FUNCIONALIDADE,6,1,training
689,of,I-FUNCIONALIDADE,6,1,training
690,information,I-FUNCIONALIDADE,6,1,training
691,related,I-FUNCIONALIDADE,6,1,training
692,to,I-FUNCIONALIDADE,6,1,training
693,air,I-FUNCIONALIDADE,6,1,training
694,pollution,I-FUNCIONALIDADE,6,1,training
695,and,O,6,1,training
696,information,O,6,1,training
697,related,O,6,1,training
698,to,O,6,1,training
699,a,O,6,1,training
700,noise,O,6,1,training
701,through,O,6,1,training
702,a,O,6,1,training
703,sensor,B-HARDWARE,6,1,training
704,included,O,6,1,training
705,in,O,6,1,training
706,the,O,6,1,training
707,transmitting,B-HARDWARE,6,1,training
708,apparatus,I-HARDWARE,6,1,training
709,or,O,6,1,training
710,an,O,6,1,training
711,external,B-HARDWARE,6,1,training
712,sensor,I-HARDWARE,6,1,training
713,",",O,6,1,training
714,and,O,6,1,training
715,to,O,6,1,training
716,control,B-FUNCIONALIDADE,6,1,training
717,the,I-FUNCIONALIDADE,6,1,training
718,transmitter,I-FUNCIONALIDADE,6,1,training
719,to,O,6,1,training
720,transmit,O,6,1,training
721,the,O,6,1,training
722,at,O,6,1,training
723,least,O,6,1,training
724,one,O,6,1,training
725,of,O,6,1,training
726,the,O,6,1,training
727,information,O,6,1,training
728,related,O,6,1,training
729,to,O,6,1,training
730,the,O,6,1,training
731,air,O,6,1,training
732,pollution,O,6,1,training
733,and,O,6,1,training
734,the,O,6,1,training
735,information,O,6,1,training
736,related,O,6,1,training
737,to,O,6,1,training
738,the,O,6,1,training
739,noise,O,6,1,training
740,.,O,6,1,training
741,A,O,7,1,training
742,system,O,7,1,training
743,",",O,7,1,training
744,method,O,7,1,training
745,",",O,7,1,training
746,and,O,7,1,training
747,computer,B-SOFTWARE,7,1,training
748,program,I-SOFTWARE,7,1,training
749,product,I-SOFTWARE,7,1,training
750,are,O,7,1,training
751,provided,O,7,1,training
752,for,O,7,1,training
753,mitigation,O,7,1,training
754,of,O,7,1,training
755,user,O,7,1,training
756,-,O,7,1,training
757,specific,O,7,1,training
758,ping,O,7,1,training
759,-,O,7,1,training
760,pong,O,7,1,training
761,handover,O,7,1,training
762,.,O,7,1,training
763,In,O,7,1,training
764,operation,O,7,1,training
765,",",O,7,1,training
766,user,B-HARDWARE,7,1,training
767,equipment,I-HARDWARE,7,1,training
768,(,I-HARDWARE,7,1,training
769,UE,I-HARDWARE,7,1,training
770,),I-HARDWARE,7,1,training
771,monitors,I-HARDWARE,7,1,training
772,for,O,7,1,training
773,a,O,7,1,training
774,ping,O,7,1,training
775,-,O,7,1,training
776,pong,O,7,1,training
777,handover,O,7,1,training
778,scenario,O,7,1,training
779,between,O,7,1,training
780,the,O,7,1,training
781,UE,O,7,1,training
782,and,O,7,1,training
783,a,O,7,1,training
784,plurality,O,7,1,training
785,of,O,7,1,training
786,nodes,O,7,1,training
787,in,O,7,1,training
788,a,O,7,1,training
789,wireless,B-COMUNICAÇÃO,7,1,training
790,communication,I-COMUNICAÇÃO,7,1,training
791,network,I-COMUNICAÇÃO,7,1,training
792,.,O,7,1,training
793,The,O,7,1,training
794,UE,O,7,1,training
795,determines,B-FUNCIONALIDADE,7,1,training
796,whether,I-FUNCIONALIDADE,7,1,training
797,a,I-FUNCIONALIDADE,7,1,training
798,state,I-FUNCIONALIDADE,7,1,training
799,of,I-FUNCIONALIDADE,7,1,training
800,the,I-FUNCIONALIDADE,7,1,training
801,UE,I-FUNCIONALIDADE,7,1,training
802,is,I-FUNCIONALIDADE,7,1,training
803,static,I-FUNCIONALIDADE,7,1,training
804,",",O,7,1,training
805,if,O,7,1,training
806,it,O,7,1,training
807,is,O,7,1,training
808,determined,O,7,1,training
809,that,O,7,1,training
810,the,O,7,1,training
811,UE,O,7,1,training
812,is,O,7,1,training
813,experiencing,O,7,1,training
814,a,O,7,1,training
815,ping,O,7,1,training
816,-,O,7,1,training
817,pong,O,7,1,training
818,handover,O,7,1,training
819,scenario,O,7,1,training
820,.,O,7,1,training
821,The,O,7,1,training
822,UE,O,7,1,training
823,receives,B-FUNCIONALIDADE,7,1,training
824,a,I-FUNCIONALIDADE,7,1,training
825,deferred,I-FUNCIONALIDADE,7,1,training
826,measurement,I-FUNCIONALIDADE,7,1,training
827,time,I-FUNCIONALIDADE,7,1,training
828,indicator,I-FUNCIONALIDADE,7,1,training
829,from,O,7,1,training
830,a,O,7,1,training
831,best,O,7,1,training
832,serving,O,7,1,training
833,node,O,7,1,training
834,of,O,7,1,training
835,the,O,7,1,training
836,plurality,O,7,1,training
837,of,O,7,1,training
838,nodes,O,7,1,training
839,",",O,7,1,training
840,if,O,7,1,training
841,it,O,7,1,training
842,is,O,7,1,training
843,determined,O,7,1,training
844,that,O,7,1,training
845,the,O,7,1,training
846,state,O,7,1,training
847,of,O,7,1,training
848,the,O,7,1,training
849,UE,O,7,1,training
850,is,O,7,1,training
851,static,O,7,1,training
852,.,O,7,1,training
853,The,O,7,1,training
854,UE,O,7,1,training
855,defers,O,7,1,training
856,sending,O,7,1,training
857,a,O,7,1,training
858,measurement,O,7,1,training
859,report,O,7,1,training
860,to,O,7,1,training
861,the,O,7,1,training
862,plurality,O,7,1,training
863,of,O,7,1,training
864,nodes,O,7,1,training
865,for,O,7,1,training
866,a,O,7,1,training
867,time,O,7,1,training
868,-,O,7,1,training
869,period,O,7,1,training
870,associated,O,7,1,training
871,with,O,7,1,training
872,the,O,7,1,training
873,deferred,O,7,1,training
874,measurement,O,7,1,training
875,time,O,7,1,training
876,indicator,O,7,1,training
877,.,O,7,1,training
878,A,O,8,1,training
879,base,O,8,1,training
880,module,O,8,1,training
881,and,O,8,1,training
882,an,O,8,1,training
883,aviation,B-HARDWARE,8,1,training
884,computer,I-HARDWARE,8,1,training
885,system,I-HARDWARE,8,1,training
886,having,O,8,1,training
887,the,O,8,1,training
888,base,O,8,1,training
889,module,O,8,1,training
890,includes,O,8,1,training
891,a,O,8,1,training
892,printed,B-HARDWARE,8,1,training
893,circuit,I-HARDWARE,8,1,training
894,board,I-HARDWARE,8,1,training
895,",",O,8,1,training
896,an,O,8,1,training
897,integrated,B-HARDWARE,8,1,training
898,power,I-HARDWARE,8,1,training
899,supply,I-HARDWARE,8,1,training
900,and,O,8,1,training
901,communication,B-HARDWARE,8,1,training
902,connector,I-HARDWARE,8,1,training
903,",",O,8,1,training
904,a,O,8,1,training
905,SMARC,B-HARDWARE,8,1,training
906,connector,I-HARDWARE,8,1,training
907,",",O,8,1,training
908,and,O,8,1,training
909,an,O,8,1,training
910,FMC,B-HARDWARE,8,1,training
911,connector,I-HARDWARE,8,1,training
912,.,O,8,1,training
913,A,O,8,1,training
914,power,B-HARDWARE,8,1,training
915,supply,I-HARDWARE,8,1,training
916,circuit,I-HARDWARE,8,1,training
917,supplies,B-FUNCIONALIDADE,8,1,training
918,the,I-FUNCIONALIDADE,8,1,training
919,SMARC,I-FUNCIONALIDADE,8,1,training
920,connector,I-FUNCIONALIDADE,8,1,training
921,and,O,8,1,training
