item	token	tag	start	end	document	partition	sentence	trainingTest
3026	object	I-FUNCIONALIDADE	108	114	27	1	82	training
3027	disposition	I-FUNCIONALIDADE	115	126	27	1	82	training
3028	space	I-FUNCIONALIDADE	127	132	27	1	82	training
3029	based	O	133	138	27	1	82	training
3030	on	O	139	141	27	1	82	training
3031	a	O	142	143	27	1	82	training
3032	road	O	144	148	27	1	82	training
3033	surface	O	149	156	27	1	82	training
3034	and	O	157	160	27	1	82	training
3035	an	O	161	163	27	1	82	training
3036	obstacle	O	164	172	27	1	82	training
3037	and	O	173	176	27	1	82	training
3038	determines	B-FUNCIONALIDADE	177	187	27	1	82	training
3039	a	I-FUNCIONALIDADE	188	189	27	1	82	training
3040	display	I-FUNCIONALIDADE	190	197	27	1	82	training
3041	position	I-FUNCIONALIDADE	198	206	27	1	82	training
3042	at	O	207	209	27	1	82	training
3043	which	O	210	215	27	1	82	training
3044	a	O	216	217	27	1	82	training
3045	graphic	O	218	225	27	1	82	training
3046	representation	O	226	240	27	1	82	training
3047	corresponding	O	241	254	27	1	82	training
3048	to	O	255	257	27	1	82	training
3049	route	O	258	263	27	1	82	training
3050	guidance	O	264	272	27	1	82	training
3051	content	O	273	280	27	1	82	training
3052	is	O	281	283	27	1	82	training
3053	visualized	O	284	294	27	1	82	training
3054	in	O	295	297	27	1	82	training
3055	the	O	298	301	27	1	82	training
3056	object	O	302	308	27	1	82	training
3057	disposition	O	309	320	27	1	82	training
3058	space	O	321	326	27	1	82	training
3059	. 	O	326	327	27	1	82	training
4288	An	O	0	7	37	1	116	training
4289	interactive	O	8	19	37	1	116	training
4290	,	O	19	20	37	1	116	training
4291	electronic	B-COMUNICAÇÃO	21	31	37	1	116	training
4292	network	I-COMUNICAÇÃO	32	39	37	1	116	training
4293	that	O	40	44	37	1	116	training
4294	enables	B-FUNCIONALIDADE	45	52	37	1	116	training
4295	multi	I-FUNCIONALIDADE	53	58	37	1	116	training
4296	-	I-FUNCIONALIDADE	58	59	37	1	116	training
4297	level	I-FUNCIONALIDADE	59	64	37	1	116	training
4298	control	I-FUNCIONALIDADE	65	72	37	1	116	training
4299	,	O	72	73	37	1	116	training
4300	variable	O	74	82	37	1	116	training
4301	access	O	83	89	37	1	116	training
4302	,	O	89	90	37	1	116	training
4303	multi	O	91	96	37	1	116	training
4304	-	O	96	97	37	1	116	training
4305	user	O	97	101	37	1	116	training
4306	communications	O	102	116	37	1	116	training
4307	of	O	117	119	37	1	116	training
4308	real	O	120	124	37	1	116	training
4309	-	O	124	125	37	1	116	training
4310	time	O	125	129	37	1	116	training
4311	contextually	O	130	142	37	1	116	training
4312	relevant	O	143	151	37	1	116	training
4313	data	O	152	156	37	1	116	training
4314	or	O	157	159	37	1	116	training
4315	information	O	160	171	37	1	116	training
4316	among	O	172	177	37	1	116	training
4317	network	B-HARDWARE	178	185	37	1	116	training
4318	-	I-HARDWARE	185	186	37	1	116	training
4319	connected	I-HARDWARE	186	195	37	1	116	training
4320	devices	I-HARDWARE	196	203	37	1	116	training
4321	,	O	203	204	37	1	116	training
4322	and	O	205	208	37	1	116	training
4323	actions	O	209	216	37	1	116	training
4324	based	O	217	222	37	1	116	training
4325	on	O	223	225	37	1	116	training
4326	those	O	226	231	37	1	116	training
4327	communications	O	232	246	37	1	116	training
4328	,	O	246	247	37	1	116	training
4329	as	O	248	250	37	1	116	training
4330	the	O	251	254	37	1	116	training
4331	network	B-HARDWARE	255	262	37	1	116	training
4332	-	I-HARDWARE	262	263	37	1	116	training
4333	connected	I-HARDWARE	263	272	37	1	116	training
4334	devices	I-HARDWARE	273	280	37	1	116	training
4335	move	O	281	285	37	1	116	training
4336	from	O	286	290	37	1	116	training
4337	one	O	291	294	37	1	116	training
4338	location	O	295	303	37	1	116	training
4339	to	O	304	306	37	1	116	training
4340	another	O	307	314	37	1	116	training
4341	and	O	315	318	37	1	116	training
4342	/	O	318	319	37	1	116	training
4343	or	O	319	321	37	1	116	training
4344	the	O	322	325	37	1	116	training
4345	data	O	326	330	37	1	116	training
4346	/	O	330	331	37	1	116	training
4347	information	O	331	342	37	1	116	training
4348	flow	O	343	347	37	1	116	training
4349	among	O	348	353	37	1	116	training
4350	those	O	354	359	37	1	116	training
4351	devices	O	360	367	37	1	116	training
4352	change	O	368	374	37	1	116	training
4353	over	O	375	379	37	1	116	training
4354	time	O	380	384	37	1	116	training
4355	. 	O	384	385	37	1	116	training
4458	Apparatus	O	0	14	39	1	119	training
4459	and	O	15	18	39	1	119	training
4460	systems	O	19	26	39	1	119	training
4461	using	O	27	32	39	1	119	training
4462	merchandise	B-HARDWARE	33	44	39	1	119	training
4463	activity	I-HARDWARE	45	53	39	1	119	training
4464	sensors	I-HARDWARE	54	61	39	1	119	training
4465	for	O	62	65	39	1	119	training
4466	increasing	B-FUNCIONALIDADE	66	76	39	1	119	training
4467	the	I-FUNCIONALIDADE	77	80	39	1	119	training
4468	awareness	I-FUNCIONALIDADE	81	90	39	1	119	training
4469	of	I-FUNCIONALIDADE	91	93	39	1	119	training
4470	interactivity	I-FUNCIONALIDADE	94	107	39	1	119	training
4471	with	O	108	112	39	1	119	training
4472	merchandise	O	113	124	39	1	119	training
4473	on	O	125	127	39	1	119	training
4474	retail	O	128	134	39	1	119	training
4475	store	O	135	140	39	1	119	training
4476	displays	O	141	149	39	1	119	training
4477	(	O	150	151	39	1	119	training
4478	shelves	O	151	158	39	1	119	training
4479	,	O	158	159	39	1	119	training
4480	peg	O	160	163	39	1	119	training
4481	hooks	O	164	169	39	1	119	training
4482	,	O	169	170	39	1	119	training
4483	merchandise	O	171	182	39	1	119	training
4484	pushers	O	183	190	39	1	119	training
4485	,	O	190	191	39	1	119	training
4486	and	O	192	195	39	1	119	training
4487	other	O	196	201	39	1	119	training
4488	Point	O	202	207	39	1	119	training
4489	of	O	208	210	39	1	119	training
4490	Purchase	O	211	219	39	1	119	training
4491	displays	O	220	228	39	1	119	training
4492	)	O	228	229	39	1	119	training
4493	in	O	230	232	39	1	119	training
4494	order	O	233	238	39	1	119	training
4495	to	O	239	241	39	1	119	training
4496	facilitate	B-FUNCIONALIDADE	242	252	39	1	119	training
4497	more	I-FUNCIONALIDADE	253	257	39	1	119	training
4498	effective	I-FUNCIONALIDADE	258	267	39	1	119	training
4499	customer	I-FUNCIONALIDADE	268	276	39	1	119	training
4500	service	I-FUNCIONALIDADE	277	284	39	1	119	training
4501	,	O	284	285	39	1	119	training
4502	reduce	B-FUNCIONALIDADE	286	292	39	1	119	training
4503	theft	I-FUNCIONALIDADE	293	298	39	1	119	training
4504	and	O	299	302	39	1	119	training
4505	to	O	303	305	39	1	119	training
4506	provide	B-FUNCIONALIDADE	306	313	39	1	119	training
4507	additional	I-FUNCIONALIDADE	314	324	39	1	119	training
4508	analysis	I-FUNCIONALIDADE	325	333	39	1	119	training
4509	data	I-FUNCIONALIDADE	334	338	39	1	119	training
4510	related	O	339	346	39	1	119	training
4511	to	O	347	349	39	1	119	training
4512	merchandise	O	350	361	39	1	119	training
4513	/	O	361	362	39	1	119	training
4514	shopper	O	362	369	39	1	119	training
4515	interaction	O	370	381	39	1	119	training
4516	. 	O	381	382	39	1	119	training
4517	Additionally	O	383	395	39	1	120	training
4518	,	O	395	396	39	1	120	training
4519	apparatus	O	397	406	39	1	120	training
4520	and	O	407	410	39	1	120	training
4521	systems	O	411	418	39	1	120	training
4522	for	O	419	422	39	1	120	training
4523	the	O	423	426	39	1	120	training
4524	conversion	O	427	437	39	1	120	training
4525	of	O	438	440	39	1	120	training
4526	cameras	O	441	448	39	1	120	training
4527	from	O	449	453	39	1	120	training
4528	passive	O	454	461	39	1	120	training
4529	to	O	462	464	39	1	120	training
4530	active	O	465	471	39	1	120	training
4531	deterrence	O	472	482	39	1	120	training
4532	devices	O	483	490	39	1	120	training
4533	aware	O	491	496	39	1	120	training
4534	of	O	497	499	39	1	120	training
4535	events	O	500	506	39	1	120	training
4536	occurring	O	507	516	39	1	120	training
4537	the	O	517	520	39	1	120	training
4538	environment	O	521	532	39	1	120	training
4539	. 	O	532	533	39	1	120	training
4540	More	O	534	538	39	1	121	training
4541	particularly	O	539	551	39	1	121	training
4542	,	O	551	552	39	1	121	training
4543	the	O	553	556	39	1	121	training
4544	present	O	557	564	39	1	121	training
4545	invention	O	565	574	39	1	121	training
4546	pertains	O	575	583	39	1	121	training
4547	to	O	584	586	39	1	121	training
4548	awareness	O	587	596	39	1	121	training
4549	of	O	597	599	39	1	121	training
4550	behaviors	O	600	609	39	1	121	training
4551	often	O	610	615	39	1	121	training
4552	related	O	616	623	39	1	121	training
4553	to	O	624	626	39	1	121	training
4554	potential	O	627	636	39	1	121	training
4555	theft	O	637	642	39	1	121	training
4556	activity	O	643	651	39	1	121	training
4557	. 	O	651	652	39	1	121	training
5003	A	O	0	6	45	1	137	training
5004	helmet	O	7	13	45	1	137	training
5005	may	O	14	17	45	1	137	training
5006	include	O	18	25	45	1	137	training
5007	:	O	25	26	45	1	137	training
5008	a	O	27	28	45	1	137	training
5009	brain	B-HARDWARE	29	34	45	1	137	training
5010	wave	I-HARDWARE	35	39	45	1	137	training
5011	detector	I-HARDWARE	40	48	45	1	137	training
5012	configured	O	49	59	45	1	137	training
5013	to	O	60	62	45	1	137	training
5014	detect	B-FUNCIONALIDADE	63	69	45	1	137	training
5015	a	I-FUNCIONALIDADE	70	71	45	1	137	training
5016	brain	I-FUNCIONALIDADE	72	77	45	1	137	training
5017	wave	I-FUNCIONALIDADE	78	82	45	1	137	training
5018	of	O	83	85	45	1	137	training
5019	a	O	86	87	45	1	137	training
5020	user	B-PESSOA	88	92	45	1	137	training
5021	"	O	92	93	45	1	137	training
5022	a	O	94	95	45	1	137	training
5023	sound	B-HARDWARE	96	101	45	1	137	training
5024	input	I-HARDWARE	102	107	45	1	137	training
5025	configured	O	108	118	45	1	137	training
5026	to	O	119	121	45	1	137	training
5027	receive	B-FUNCIONALIDADE	122	129	45	1	137	training
5028	sound	I-FUNCIONALIDADE	130	135	45	1	137	training
5029	"	O	135	136	45	1	137	training
5030	a	O	137	138	45	1	137	training
5031	sound	B-HARDWARE	139	144	45	1	137	training
5032	output	I-HARDWARE	145	151	45	1	137	training
5033	configured	B-FUNCIONALIDADE	152	162	45	1	137	training
5034	to	I-FUNCIONALIDADE	163	165	45	1	137	training
5035	output	I-FUNCIONALIDADE	166	172	45	1	137	training
5036	sound	I-FUNCIONALIDADE	173	178	45	1	137	training
