item,token,tag,sentence,start,end,document,partition,trainingTest
155,server,I-HARDWARE,5,154,160,1,7,training
156,for,I-HARDWARE,5,161,164,1,7,training
157,determining,O,5,165,176,1,7,training
158,parking,O,5,177,184,1,7,training
159,violations,B-HARDWARE,5,185,195,1,7,training
160,.,I-HARDWARE,5,195,196,1,7,training
161,1_39_A,O,7,0,6,2,5,training
162,user,B-HARDWARE,7,7,11,2,5,training
163,equipment,I-HARDWARE,7,12,21,2,5,training
164,UE,O,7,22,24,2,5,training
165,receives,B-FUNCIONALIDADE,7,25,33,2,5,training
166,from,I-FUNCIONALIDADE,7,34,38,2,5,training
167,a,I-FUNCIONALIDADE,7,39,40,2,5,training
168,serving,I-FUNCIONALIDADE,7,41,48,2,5,training
169,cell,I-FUNCIONALIDADE,7,49,53,2,5,training
170,indications,I-FUNCIONALIDADE,7,54,65,2,5,training
171,of,O,7,66,68,2,5,training
172,frequency,O,7,69,78,2,5,training
173,bands,O,7,79,84,2,5,training
174,supported,O,7,85,94,2,5,training
175,by,O,7,95,97,2,5,training
176,neighbor,O,7,98,106,2,5,training
177,cells,O,7,107,112,2,5,training
178,/,O,7,112,113,2,5,training
179,frequencies,O,7,113,124,2,5,training
180,",",O,7,124,125,2,5,training
181,and,O,7,126,129,2,5,training
182,at,O,7,130,132,2,5,training
183,least,O,7,133,138,2,5,training
184,one,O,7,139,142,2,5,training
185,individual,O,7,143,153,2,5,training
186,neighbor,O,7,154,162,2,5,training
187,cell,O,7,163,167,2,5,training
188,/,O,7,167,168,2,5,training
189,frequency,O,7,168,177,2,5,training
190,supports,O,7,178,186,2,5,training
191,a,O,7,187,188,2,5,training
192,plurality,O,7,189,198,2,5,training
193,of,O,7,199,201,2,5,training
194,frequency,O,7,202,211,2,5,training
195,bands,O,7,212,217,2,5,training
196,.,O,7,217,218,2,5,training
197,The,O,8,0,3,2,5,training
198,neighbor,O,8,4,12,2,5,training
199,cells,B-HARDWARE,8,13,18,2,5,training
200,/,I-HARDWARE,8,18,19,2,5,training
201,frequencies,O,8,19,30,2,5,training
202,are,B-FUNCIONALIDADE,8,31,34,2,5,training
203,filtered,I-FUNCIONALIDADE,8,35,43,2,5,training
204,to,I-FUNCIONALIDADE,8,44,46,2,5,training
205,retain,I-FUNCIONALIDADE,8,47,53,2,5,training
206,only,I-FUNCIONALIDADE,8,54,58,2,5,training
207,those,I-FUNCIONALIDADE,8,59,64,2,5,training
208,which,O,8,65,70,2,5,training
209,are,O,8,71,74,2,5,training
210,indicated,O,8,75,84,2,5,training
211,to,O,8,85,87,2,5,training
212,support,O,8,88,95,2,5,training
213,a,O,8,96,97,2,5,training
214,frequency,O,8,98,107,2,5,training
215,band,O,8,108,112,2,5,training
216,or,O,8,113,115,2,5,training
217,frequency,O,8,116,125,2,5,training
218,bands,O,8,126,131,2,5,training
219,which,O,8,132,137,2,5,training
220,are,O,8,138,141,2,5,training
221,also,O,8,142,146,2,5,training
222,supported,O,8,147,156,2,5,training
223,by,O,8,157,159,2,5,training
224,the,O,8,160,163,2,5,training
225,UE,O,8,164,166,2,5,training
226,.,O,8,166,167,2,5,training
227,Examples,O,9,0,8,2,5,training
228,are,B-HARDWARE,9,9,12,2,5,training
229,given,I-HARDWARE,9,13,18,2,5,training
230,of,I-HARDWARE,9,19,21,2,5,training
231,various,O,9,22,29,2,5,training
232,system,B-FUNCIONALIDADE,9,30,36,2,5,training
233,information,I-FUNCIONALIDADE,9,37,48,2,5,training
234,blocks,I-FUNCIONALIDADE,9,49,55,2,5,training
235,for,I-FUNCIONALIDADE,9,56,59,2,5,training
236,sending,O,9,60,67,2,5,training
237,the,O,9,68,71,2,5,training
238,frequency,O,9,72,81,2,5,training
239,band,O,9,82,86,2,5,training
240,indications,O,9,87,98,2,5,training
241,to,O,9,99,101,2,5,training
242,the,O,9,102,105,2,5,training
243,UE,O,9,106,108,2,5,training
244,.,O,9,108,109,2,5,training
245,In,O,10,0,2,2,5,training
246,one,O,10,3,6,2,5,training
247,embodiment,B-HARDWARE,10,7,17,2,5,training
248,they,O,10,18,22,2,5,training
249,are,O,10,23,26,2,5,training
250,arranged,B-FUNCIONALIDADE,10,27,35,2,5,training
251,in,I-FUNCIONALIDADE,10,36,38,2,5,training
252,an,I-FUNCIONALIDADE,10,39,41,2,5,training
253,information,I-FUNCIONALIDADE,10,42,53,2,5,training
254,element,I-FUNCIONALIDADE,10,54,61,2,5,training
255,IE,I-FUNCIONALIDADE,10,62,64,2,5,training
256,having,O,10,65,71,2,5,training
257,an,O,10,72,74,2,5,training
258,entry,O,10,75,80,2,5,training
259,for,O,10,81,84,2,5,training
260,each,O,10,85,89,2,5,training
261,of,O,10,90,92,2,5,training
262,the,O,10,93,96,2,5,training
263,neighbor,O,10,97,105,2,5,training
264,cells,O,10,106,111,2,5,training
265,/,O,10,111,112,2,5,training
266,frequencies,O,10,112,123,2,5,training
267,and,O,10,124,127,2,5,training
268,a,O,10,128,129,2,5,training
269,list,O,10,130,134,2,5,training
270,of,O,10,135,137,2,5,training
271,frequency,O,10,138,147,2,5,training
272,bands,O,10,148,153,2,5,training
273,for,O,10,154,157,2,5,training
274,each,O,10,158,162,2,5,training
275,entry,O,10,163,168,2,5,training
276,.,O,10,168,169,2,5,training
277,In,O,11,0,2,2,5,training
278,another,O,11,3,10,2,5,training
279,the,B-HARDWARE,11,11,14,2,5,training
280,IE,I-HARDWARE,11,15,17,2,5,training
281,has,I-HARDWARE,11,18,21,2,5,training
282,an,O,11,22,24,2,5,training
283,index,B-FUNCIONALIDADE,11,25,30,2,5,training
284,and,I-FUNCIONALIDADE,11,31,34,2,5,training
285,an,I-FUNCIONALIDADE,11,35,37,2,5,training
286,associated,I-FUNCIONALIDADE,11,38,48,2,5,training
287,frequency,I-FUNCIONALIDADE,11,49,58,2,5,training
288,band,I-FUNCIONALIDADE,11,59,63,2,5,training
289,(,I-FUNCIONALIDADE,11,63,64,2,5,training
290,s,I-FUNCIONALIDADE,11,64,65,2,5,training
291,),O,11,65,66,2,5,training
292,where,O,11,67,72,2,5,training
293,a,O,11,73,74,2,5,training
294,value,O,11,75,80,2,5,training
295,of,O,11,81,83,2,5,training
296,the,O,11,84,87,2,5,training
297,index,O,11,88,93,2,5,training
298,indicates,O,11,94,103,2,5,training
299,that,O,11,104,108,2,5,training
300,one,O,11,109,112,2,5,training
301,or,O,11,113,115,2,5,training
302,more,O,11,116,120,2,5,training
303,of,O,11,121,123,2,5,training
304,the,O,11,124,127,2,5,training
305,neighbor,O,11,128,136,2,5,training
306,cells,O,11,137,142,2,5,training
307,/,O,11,142,143,2,5,training
308,frequencies,O,11,143,154,2,5,training
309,referred,O,11,155,163,2,5,training
310,to,O,11,164,166,2,5,training
311,by,O,11,167,169,2,5,training
312,the,O,11,170,173,2,5,training
313,index,O,11,174,179,2,5,training
314,belong,O,11,180,186,2,5,training
315,to,O,11,187,189,2,5,training
316,the,O,11,190,193,2,5,training
317,associated,O,11,194,204,2,5,training
318,frequency,O,11,205,214,2,5,training
319,band,O,11,215,219,2,5,training
320,(,O,11,219,220,2,5,training
321,s,O,11,220,221,2,5,training
322,),O,11,221,222,2,5,training
323,.,O,11,222,223,2,5,training
324,1_37_An,O,13,0,7,3,8,test
325,apparatus,B-HARDWARE,13,8,17,3,8,test
326,for,I-HARDWARE,13,18,21,3,8,test
327,a,I-HARDWARE,13,22,23,3,8,test
328,Non,I-HARDWARE,13,24,27,3,8,test
329,-,I-HARDWARE,13,27,28,3,8,test
330,Real,I-HARDWARE,13,28,32,3,8,test
331,-,I-HARDWARE,13,32,33,3,8,test
332,Time,I-HARDWARE,13,33,37,3,8,test
333,RAN,I-HARDWARE,13,38,41,3,8,test
334,Intelligent,I-HARDWARE,13,42,53,3,8,test
335,Controller,I-HARDWARE,13,54,64,3,8,test
336,(,O,13,65,66,3,8,test
337,Non,O,13,66,69,3,8,test
338,-,O,13,69,70,3,8,test
339,RT,O,13,70,72,3,8,test
340,RIC,O,13,73,76,3,8,test
341,),O,13,76,77,3,8,test
342,of,O,13,78,80,3,8,test
343,a,O,13,81,82,3,8,test
344,Service,O,13,83,90,3,8,test
345,Management,O,13,91,101,3,8,test
346,and,O,13,102,105,3,8,test
347,Orchestration,O,13,106,119,3,8,test
348,(,O,13,120,121,3,8,test
349,SMO,O,13,121,124,3,8,test
350,),O,13,124,125,3,8,test
351,entity,O,13,126,132,3,8,test
352,of,O,13,133,135,3,8,test
353,an,O,13,136,138,3,8,test
354,Open,B-COMUNICAÇÃO,13,139,143,3,8,test
355,Radio,I-COMUNICAÇÃO,13,144,149,3,8,test
356,Access,I-COMUNICAÇÃO,13,150,156,3,8,test
357,Network,I-COMUNICAÇÃO,13,157,164,3,8,test
358,(,O,13,165,166,3,8,test
359,O,O,13,166,167,3,8,test
360,-,O,13,167,168,3,8,test
361,RAN,O,13,168,171,3,8,test
362,),O,13,171,172,3,8,test
363,includes,O,13,173,181,3,8,test
364,processing,B-HARDWARE,13,182,192,3,8,test
365,circuitry,I-HARDWARE,13,193,202,3,8,test
366,coupled,O,13,203,210,3,8,test
367,to,O,13,211,213,3,8,test
368,memory,B-HARDWARE,13,214,220,3,8,test
369,.,O,13,220,221,3,8,test
370,To,O,14,0,2,3,8,test
371,configure,O,14,3,12,3,8,test
372,the,B-HARDWARE,14,13,16,3,8,test
373,Non,I-HARDWARE,14,17,20,3,8,test
374,-,I-HARDWARE,14,20,21,3,8,test
375,RT,I-HARDWARE,14,21,23,3,8,test
376,RIC,I-HARDWARE,14,24,27,3,8,test
377,for,I-HARDWARE,14,28,31,3,8,test
378,allocation,I-HARDWARE,14,32,42,3,8,test
379,of,I-HARDWARE,14,43,45,3,8,test
380,network,I-HARDWARE,14,46,53,3,8,test
381,slice,I-HARDWARE,14,54,59,3,8,test
382,subnet,O,14,60,66,3,8,test
383,instance,O,14,67,75,3,8,test
384,(,O,14,76,77,3,8,test
385,NSSI,O,14,77,81,3,8,test
386,),O,14,81,82,3,8,test
387,resources,O,14,83,92,3,8,test
388,in,O,14,93,95,3,8,test
389,the,O,14,96,99,3,8,test
390,O,O,14,100,101,3,8,test
391,-,O,14,101,102,3,8,test
392,RAN,O,14,102,105,3,8,test
393,",",O,14,105,106,3,8,test
394,the,O,14,107,110,3,8,test
395,processing,O,14,111,121,3,8,test
396,circuitry,O,14,122,131,3,8,test
397,is,O,14,132,134,3,8,test
398,to,O,14,135,137,3,8,test
399,collect,O,14,138,145,3,8,test
400,performance,B-COMUNICAÇÃO,14,146,157,3,8,test
401,measurements,O,14,158,170,3,8,test
402,related,O,14,171,178,3,8,test
403,to,O,14,179,181,3,8,test
404,usage,B-HARDWARE,14,182,187,3,8,test
405,of,I-HARDWARE,14,188,190,3,8,test
406,the,I-HARDWARE,14,191,194,3,8,test
407,NSSI,I-HARDWARE,14,195,199,3,8,test
408,resources,O,14,200,209,3,8,test
409,.,O,14,209,210,3,8,test
410,An,O,15,0,2,3,8,test
411,artificial,O,15,3,13,3,8,test
412,intelligence,B-HARDWARE,15,14,26,3,8,test
413,(,I-HARDWARE,15,27,28,3,8,test
414,AI,I-HARDWARE,15,28,30,3,8,test
415,),I-HARDWARE,15,30,31,3,8,test
416,/,I-HARDWARE,15,31,32,3,8,test
417,machine,I-HARDWARE,15,32,39,3,8,test
418,learning,I-HARDWARE,15,40,48,3,8,test
419,(,I-HARDWARE,15,49,50,3,8,test
420,ML,I-HARDWARE,15,50,52,3,8,test
421,),I-HARDWARE,15,52,53,3,8,test
422,model,I-HARDWARE,15,54,59,3,8,test
423,is,I-HARDWARE,15,60,62,3,8,test
424,trained,O,15,63,70,3,8,test
425,based,O,15,71,76,3,8,test
426,on,O,15,77,79,3,8,test
427,the,O,15,80,83,3,8,test
428,performance,O,15,84,95,3,8,test
429,measurements,O,15,96,108,3,8,test
430,.,O,15,108,109,3,8,test
431,The,O,16,0,3,3,8,test
432,allocation,O,16,4,14,3,8,test
433,of,B-HARDWARE,16,15,17,3,8,test
434,the,I-HARDWARE,16,18,21,3,8,test
435,NSSI,I-HARDWARE,16,22,26,3,8,test
436,resources,I-HARDWARE,16,27,36,3,8,test
437,is,I-HARDWARE,16,37,39,3,8,test
438,optimized,I-HARDWARE,16,40,49,3,8,test
439,at,I-HARDWARE,16,50,52,3,8,test
440,a,I-HARDWARE,16,53,54,3,8,test
441,time,I-HARDWARE,16,55,59,3,8,test
442,determined,O,16,60,70,3,8,test
443,by,O,16,71,73,3,8,test
444,an,O,16,74,76,3,8,test
445,inference,O,16,77,86,3,8,test
446,of,O,16,87,89,3,8,test
447,the,O,16,90,93,3,8,test
448,AI,O,16,94,96,3,8,test
449,/,O,16,96,97,3,8,test
450,ML,O,16,97,99,3,8,test
451,model,O,16,100,105,3,8,test
452,.,O,16,105,106,3,8,test
453,1_26_An,O,18,0,7,4,3,training
454,apparatus,O,18,8,17,4,3,training
455,and,O,18,18,21,4,3,training
456,method,O,18,22,28,4,3,training
457,to,O,18,29,31,4,3,training
458,train,B-FUNCIONALIDADE,18,32,37,4,3,training
459,an,I-FUNCIONALIDADE,18,38,40,4,3,training
460,image,I-FUNCIONALIDADE,18,41,46,4,3,training
461,recognition,I-FUNCIONALIDADE,18,47,58,4,3,training
462,model,I-FUNCIONALIDADE,18,59,64,4,3,training
463,to,O,18,65,67,4,3,training
464,accurately,O,18,68,78,4,3,training
465,estimate,B-FUNCIONALIDADE,18,79,87,4,3,training
466,a,I-FUNCIONALIDADE,18,88,89,4,3,training
467,location,I-FUNCIONALIDADE,18,90,98,4,3,training
468,of,I-FUNCIONALIDADE,18,99,101,4,3,training
469,a,I-FUNCIONALIDADE,18,102,103,4,3,training
470,reference,I-FUNCIONALIDADE,18,104,113,4,3,training
471,point,I-FUNCIONALIDADE,18,114,119,4,3,training
472,for,O,18,120,123,4,3,training
473,each,O,18,124,128,4,3,training
474,class,O,18,129,134,4,3,training
475,of,O,18,135,137,4,3,training
476,landmark,O,18,138,146,4,3,training
477,is,O,18,147,149,4,3,training
478,disclosed,O,18,150,159,4,3,training
479,.,O,18,159,160,4,3,training
480,The,O,19,0,3,4,3,training
481,apparatus,O,19,4,13,4,3,training
482,and,O,19,14,17,4,3,training
483,method,O,19,18,24,4,3,training
484,use,O,19,25,28,4,3,training
485,the,O,19,29,32,4,3,training
486,image,B-FUNCIONALIDADE,19,33,38,4,3,training
487,recognition,I-FUNCIONALIDADE,19,39,50,4,3,training
488,model,I-FUNCIONALIDADE,19,51,56,4,3,training
489,",",I-FUNCIONALIDADE,19,56,57,4,3,training
490,which,I-FUNCIONALIDADE,19,58,63,4,3,training
491,is,O,19,64,66,4,3,training
492,trained,O,19,67,74,4,3,training
493,based,O,19,75,80,4,3,training
494,on,B-FUNCIONALIDADE,19,81,83,4,3,training
495,calculating,I-FUNCIONALIDADE,19,84,95,4,3,training
496,a,I-FUNCIONALIDADE,19,96,97,4,3,training
497,class,I-FUNCIONALIDADE,19,98,103,4,3,training
498,loss,I-FUNCIONALIDADE,19,104,108,4,3,training
499,and,I-FUNCIONALIDADE,19,109,112,4,3,training
500,a,I-FUNCIONALIDADE,19,113,114,4,3,training
501,class,O,19,115,120,4,3,training
502,-,O,19,120,121,4,3,training
503,dependent,O,19,121,130,4,3,training
504,localization,O,19,131,143,4,3,training
505,loss,O,19,144,148,4,3,training
506,from,O,19,149,153,4,3,training
507,training,O,19,154,162,4,3,training
508,data,O,19,163,167,4,3,training
509,based,O,19,168,173,4,3,training
510,on,O,19,174,176,4,3,training
511,an,O,19,177,179,4,3,training
512,image,O,19,180,185,4,3,training
513,recognition,O,19,186,197,4,3,training
514,model,B-SOFTWARE,19,198,203,4,3,training
515,and,I-SOFTWARE,19,204,207,4,3,training
516,training,I-SOFTWARE,19,208,216,4,3,training
517,the,O,19,217,220,4,3,training
518,image,O,19,221,226,4,3,training
519,recognition,O,19,227,238,4,3,training
520,model,O,19,239,244,4,3,training
521,using,O,19,245,250,4,3,training
522,a,O,19,251,252,4,3,training
523,total,O,19,253,258,4,3,training
524,loss,O,19,259,263,4,3,training
525,comprising,O,19,264,274,4,3,training
526,the,O,19,275,278,4,3,training
527,class,O,19,279,284,4,3,training
528,loss,O,19,285,289,4,3,training
529,and,O,19,290,293,4,3,training
530,the,O,19,294,297,4,3,training
531,localization,O,19,298,310,4,3,training
532,loss,O,19,311,315,4,3,training
533,.,O,19,315,316,4,3,training
534,1_7_The,O,21,0,7,5,7,training
535,present,O,21,8,15,5,7,training
536,disclosure,O,21,16,26,5,7,training
537,relates,O,21,27,34,5,7,training
538,to,O,21,35,37,5,7,training
539,a,O,21,38,39,5,7,training
540,sensor,B-HARDWARE,21,40,46,5,7,training
541,network,I-HARDWARE,21,47,54,5,7,training
542,",",O,21,54,55,5,7,training
543,machine,B-COMUNICAÇÃO,21,56,63,5,7,training
544,type,I-COMUNICAÇÃO,21,64,68,5,7,training
545,communication,I-COMUNICAÇÃO,21,69,82,5,7,training
546,(,O,21,83,84,5,7,training
547,MTC,B-COMUNICAÇÃO,21,84,87,5,7,training
548,),O,21,87,88,5,7,training
549,",",O,21,88,89,5,7,training
550,machine,B-COMUNICAÇÃO,21,90,97,5,7,training
551,-,I-COMUNICAÇÃO,21,97,98,5,7,training
552,to,I-COMUNICAÇÃO,21,98,100,5,7,training
553,-,I-COMUNICAÇÃO,21,100,101,5,7,training
554,machine,I-COMUNICAÇÃO,21,101,108,5,7,training
555,(,I-COMUNICAÇÃO,21,109,110,5,7,training
556,M2M,I-COMUNICAÇÃO,21,110,113,5,7,training
557,),I-COMUNICAÇÃO,21,113,114,5,7,training
558,communication,I-COMUNICAÇÃO,21,115,128,5,7,training
559,",",O,21,128,129,5,7,training
560,and,O,21,130,133,5,7,training
561,technology,B-COMUNICAÇÃO,21,134,144,5,7,training
562,for,I-COMUNICAÇÃO,21,145,148,5,7,training
563,internet,I-COMUNICAÇÃO,21,149,157,5,7,training
564,of,I-COMUNICAÇÃO,21,158,160,5,7,training
565,things,I-COMUNICAÇÃO,21,161,167,5,7,training
566,(,O,21,168,169,5,7,training
567,IoT,B-COMUNICAÇÃO,21,169,172,5,7,training
568,),O,21,172,173,5,7,training
569,.,O,21,173,174,5,7,training
570,The,O,22,0,3,5,7,training
571,present,O,22,4,11,5,7,training
572,disclosure,O,22,12,22,5,7,training
573,may,O,22,23,26,5,7,training
574,be,O,22,27,29,5,7,training
575,applied,O,22,30,37,5,7,training
576,to,O,22,38,40,5,7,training
577,intelligent,B-HARDWARE,22,41,52,5,7,training
578,services,O,22,53,61,5,7,training
579,based,B-COMUNICAÇÃO,22,62,67,5,7,training
580,on,I-COMUNICAÇÃO,22,68,70,5,7,training
581,the,I-COMUNICAÇÃO,22,71,74,5,7,training
582,above,I-COMUNICAÇÃO,22,75,80,5,7,training
583,technologies,O,22,81,93,5,7,training
584,",",B-COMUNICAÇÃO,22,93,94,5,7,training
585,such,I-COMUNICAÇÃO,22,95,99,5,7,training
586,as,I-COMUNICAÇÃO,22,100,102,5,7,training
587,smart,I-COMUNICAÇÃO,22,103,108,5,7,training
588,home,I-COMUNICAÇÃO,22,109,113,5,7,training
589,",",I-COMUNICAÇÃO,22,113,114,5,7,training
590,smart,I-COMUNICAÇÃO,22,115,120,5,7,training
591,building,O,22,121,129,5,7,training
592,",",O,22,129,130,5,7,training
593,smart,O,22,131,136,5,7,training
594,city,B-COMUNICAÇÃO,22,137,141,5,7,training
595,",",I-COMUNICAÇÃO,22,141,142,5,7,training
596,smart,I-COMUNICAÇÃO,22,143,148,5,7,training
597,car,I-COMUNICAÇÃO,22,149,152,5,7,training
598,",",I-COMUNICAÇÃO,22,152,153,5,7,training
599,connected,I-COMUNICAÇÃO,22,154,163,5,7,training
600,car,I-COMUNICAÇÃO,22,164,167,5,7,training
601,",",O,22,167,168,5,7,training
602,health,O,22,169,175,5,7,training
603,care,O,22,176,180,5,7,training
604,",",O,22,180,181,5,7,training
605,digital,O,22,182,189,5,7,training
606,education,O,22,190,199,5,7,training
607,",",O,22,199,200,5,7,training
608,smart,O,22,201,206,5,7,training
609,retail,O,22,207,213,5,7,training
610,",",O,22,213,214,5,7,training
611,security,O,22,215,223,5,7,training
612,and,O,22,224,227,5,7,training
613,safety,O,22,228,234,5,7,training
614,services,O,22,235,243,5,7,training
615,.,O,22,243,244,5,7,training
616,A,O,23,0,1,5,7,training
617,transmitting,O,23,2,14,5,7,training
618,apparatus,O,23,15,24,5,7,training
619,according,O,23,25,34,5,7,training
620,to,O,23,35,37,5,7,training
621,an,O,23,38,40,5,7,training
622,embodiment,B-HARDWARE,23,41,51,5,7,training
623,of,I-HARDWARE,23,52,54,5,7,training
624,the,O,23,55,58,5,7,training
625,present,B-COMUNICAÇÃO,23,59,66,5,7,training
626,disclosure,I-COMUNICAÇÃO,23,67,77,5,7,training
627,is,I-COMUNICAÇÃO,23,78,80,5,7,training
628,provided,O,23,81,89,5,7,training
629,.,O,23,89,90,5,7,training
